id;start_dttm;end_dttm;status
7dd47d03-e168-4ed4-8902-294e56425f96;2025-07-07;2025-07-07;EXPIRED
3dcd23cb-dab3-49e8-b00c-f90d195bc25f;2025-07-07;2025-07-07;EXPIRED
91a27598-2737-4f41-9716-826e6ce29a66;2025-07-07;2025-07-07;EXPIRED
62de3725-a39d-4da3-b79a-a4c37ae898fe;2025-07-07;2025-07-07;CANCELLED
4f70a5bd-b447-4393-9ec6-08ed150f3623;2025-07-07;2025-07-07;ACTIVE
99bcf180-59c0-4a26-916a-34c1eb8dc4ee;2025-07-07;2025-07-07;ACTIVE
2884fe06-09a7-46c3-a597-65e8f35d2f61;2025-07-07;2025-07-06;ACTIVE
331bdea6-1627-4ec2-b204-81cfb30cd168;2025-07-07;2025-07-07;CANCELLED
e162c31c-ef05-4cd7-b774-0a85fd82bf29;2025-07-07;2025-07-07;CANCELLED
9b9f75fc-8a97-4b82-bdca-6d7d6233da36;2025-07-07;2025-07-07;ACTIVE
