id;amount;status;payment_dttm;hash_sum
1;3191.44;COMPLETED;2025-06-26;quietly pale
2;6170.4;COMPLETED;2025-06-26;total amend
3;13045.71;PENDING;2025-06-27;save separately off
4;32477.18;PENDING;2025-06-26;unless softly ready
5;25161.68;PENDING;2025-06-27;inasmuch till beneath
6;26493.37;PENDING;2025-06-27;svelte vary
7;9120.54;COMPLETED;2025-06-27;psst rural jaywalk
8;18844.48;COMPLETED;2025-06-26;instead before
9;9814.64;PENDING;2025-06-27;ew inasmuch
10;26969.24;PENDING;2025-06-26;jealous when old-fashioned
