id;name;referral_code;description;start_dttm;end_dttm;reward_amount;status
1;cuddly ick;yawningly lest;yet;2025-06-27;2025-06-27;21687.85;COMPLETED
2;mortar waist badly;gosh manage;overdub ack;2025-06-26;2025-06-26;19164.07;COMPLETED
3;horst for zowie;huzzah which dimly;debit tribe than;2025-06-27;2025-06-26;22813.29;EXPIRED
4;ugh;lest round deplore;cinch quirkily;2025-06-26;2025-06-26;20974.19;PENDING
5;adventurously sermon after;coarse breakable;unwilling overreact soon;2025-06-26;2025-06-26;17929.53;PENDING
6;brochure gosh function;zowie;bah trust;2025-06-27;2025-06-26;27273.57;COMPLETED
7;council unexpectedly;misread abaft ring;unless;2025-06-27;2025-06-27;16418.93;COMPLETED
8;across yippee eek;give woot;disbar generally;2025-06-27;2025-06-27;21958.24;PENDING
9;far upon dream;utilized;eventually incidentally;2025-06-27;2025-06-26;28220.08;COMPLETED
10;eek;around;portray the phooey;2025-06-27;2025-06-26;1492.47;PENDING
