id;name;description;jhi_order;role;role_group;active
543303c4-77e1-445f-b7fb-cb5204bca39c;yowza;cow;20178;consequently moist;warmly publicity nor;false
6926722d-387b-429f-8c81-388b13aced6f;monstrous hydrant beneficial;though ferociously bathrobe;26254;unto tomography;on whenever until;false
c7d8fefd-69e8-4144-82d3-a9030aef1332;mobility;since whenever whoever;26715;curiously;wriggler instead tenant;false
7249cd3c-3a7a-4db2-bbff-88239a622733;via though;hastily;25512;worse cosset;depute;false
02229d11-e49e-477c-8386-77c54d417649;highly;readily fussy;5483;provided pricey paralyse;give sweetly;true
22de0830-c9ff-4445-9db8-93939ebf3fac;ew gape;unless hmph always;21078;meanwhile;violently;false
0c01cd89-b6f5-4738-8505-b53302a6dbaf;aw;tomography reassuringly that;697;since below ack;unearth;true
c0950014-c1a1-464e-9bfa-af38d8cf1531;depart yowza;tinderbox knavishly;26975;pile readies;duh up;false
e238dc95-1f92-4209-9cdb-e2740df38b31;well-worn;really;14550;obedience;underpants vamoose;true
8aaebad3-6923-4e58-b8ca-55d82f76cbca;since mythology concentration;cope but contradict;30929;miserably transplant misguided;readies;false
