id;name;description;price;duration;visible
1;throughout round tempting;house mixture meal;5299.15;tribe;true
2;dereference;gosh;7653.3;since sympathetically;true
3;past;freely;21798.77;provided uh-huh;false
4;when;meanwhile;26569.05;handover psst;true
5;lean bah;obediently;13461;yuck;true
6;monumental upliftingly;perfumed within boo;20732.79;suspension whoa focused;false
7;austere ugh search;woot far;4445.13;fluctuate;true
8;thorny;gosh ugh;1352.9;advocate highly duh;true
9;around joyfully huzzah;bravely;693.89;gee;false
10;usually;expert without;32730.37;brr above but;false
